File Name,Date of Petition,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request
FDA-2012-P-1189-0010_Extension_Request_TMP_for_Canned_Tuna.pdf,20-Jun-12,"Bumble Bee Foods, LLC; StarKist Co.; Tri-Union Seafoods, LLC (Chicken of the Sea)",Represented by Covington & Burling LLP (Alan M. Slobodin),21 CFR 10.30; 21 CFR 130.12,Request extension of temporary marketing permit for canned tuna labeled by drained weight rather than pressed cake weight,Requested to maintain current labeling while FDA rulemaking proceeds; no consumer deception or health concerns identified,
FDA-2012-P-0119-0010_Redacted_Appeal_from_Mario_Morais.pdf,4-Jul-14,Mario Morais,N/A,21 CFR 10.75,Appeal regarding previous denial of Citizen Petition concerning desiccant labeling in pharmaceutical packaging,Request for reconsideration based on new arguments and interpretations of labeling standards,
FDA-2012-P-0260-0021_Amendment_from_Fisher_Wallace_Laboratories_LLC.pdf,7-May-14,Fisher Wallace Laboratories LLC,N/A,N/A,Request to amend citizen petition requesting FDA to reclassify cranial electrotherapy stimulators (CES) from Class III to Class II,Updated scientific rationale and regulatory arguments for reclassification of CES devices,
FDA-2012-P-0895-0004_Endo_Pharmaceuticals_Inc_Endo_Supplement.pdf,1-Nov-12,Endo Pharmaceuticals Inc.,N/A,Section 505(j)(6) of FD&C Act; 21 CFR 314.161,Supplement to original citizen petition requesting FDA find non-crush-resistant Opana ER discontinued for safety reasons and refuse/suspend ANDAs,New post-marketing data showing increased abuse and safety concerns with non-crush-resistant formulation,
FDA-2012-P-0794-0001_Piedmont_Animal_Health_Citizen_Petition.pdf,24-Aug-12,Piedmont Animal Health,N/A,21 CFR 514.1; 21 CFR 514.8; 21 CFR 514.111,Suitability petition requesting permission to submit ANADA for chewable praziquantel/pyrantel pamoate/febantel for dogs,"Differences from pioneer product (chewable form, texture, size) do not affect active ingredients or intended use",
FDA-2012-P-0270-0001_Neuro_Fitness_LLC___Citizen_Petition.pdf,23-Mar-12,Neuro Fitness LLC,N/A,21 CFR 10.30,Request FDA to reclassify cranial electrotherapy stimulators (CES) from Class III to Class II,Scientific literature and clinical evidence support reclassification for safety and effectiveness,
FDA-2012-P-0404-0001_Public_Citizen_Health_Research_Group_Citizen_Petit.pdf,11-Apr-12,Public Citizen Health Research Group,N/A,21 CFR 10.30,"Request FDA to remove propoxyphene-containing products (e.g., Darvon, Darvocet) from the market due to cardiovascular risks",Evidence of serious cardiac side effects outweighs benefits,
FDA-2012-P-0272-0001_Actavis_Inc__Attachments_1_and_2__Citizen_Petition.pdf,22-Mar-12,Actavis Inc.,N/A,21 CFR 10.30,Request that FDA refuse to approve or suspend approval of any ANDAs referencing original Opana ER formulation,Argues that changes to formulation (crush-resistant) were necessary for safety; allowing generic approval of non-crush-resistant would pose public health risk,
FDA-2012-P-0317-0001_Abbott_Laboratories_Covington_and_Burling_LLP__Cit.pdf,2-Apr-12,Abbott Laboratories (represented by Covington & Burling LLP),Covington & Burling LLP,21 C.F.R. § 10.30; Section 351 of PHSA (BPCIA),"Request that FDA not accept, file, approve, or otherwise consider biosimilar applications referencing Humira before March 23, 2010",Based on constitutional protections (Fifth Amendment takings clause) and preserving trade secrets from premature disclosure,
FDA-2012-P-0749-0001_Reference_2_Nasonex_NDA_20_762_Formulation_Develop.pdf,29-May-12,"Merck & Co., Inc.",N/A,21 CFR 10.30,Request that FDA refuse to approve any ANDA referencing Nasonex unless bioequivalence is demonstrated using the innovator's formulation,"Differences in formulation could impact clinical performance; thus, stricter bioequivalence standards needed",
FDA-2012-P-0053-0001_Lannett_Company_Inc_and_Cody_Laboratories_Inc_Alst.pdf,18-Jan-12,Lannett Company Inc. and Cody Laboratories Inc.,Alston & Bird LLP,21 CFR 10.30,Request for FDA to withdraw approval of certain generic morphine sulfate oral solutions due to bioequivalence and safety concerns,Alleged inadequacy of bioequivalence data and potential safety risks for patients,
FDA-2012-P-0298-0001_Joseph_Dedvukaj_Firm_PC_On_Behalf_of_Arena_Pharmac.pdf,20-Mar-12,Joseph Dedvukaj Firm PC on behalf of Arena Pharmaceuticals,N/A,21 CFR 10.30,Request for FDA approval of Lorcaserin for treatment of obesity,Claims sufficient evidence of safety and efficacy for new drug application approval,
FDA-2012-P-0733-0001_Jazz_Pharmaceuticals_Citizen_Petition.pdf,1-Jun-12,"Jazz Pharmaceuticals, Inc.",N/A,21 CFR 10.30,Request that FDA refuse to approve any ANDA for sodium oxybate oral solution that omits the Risk Management Program requirements,Argues that RMP requirements are necessary for safe use and should be mandatory for all generic applicants,
FDA-2012-P-0947-0001_Mallinckrodt_Inc__Citizen_Petition.pdf,12-Jul-12,Mallinckrodt Inc.,N/A,21 CFR 10.30,Request that FDA refuse to approve any ANDA for generic Exalgo unless bioequivalence is demonstrated using the approved crush-resistant formulation,Public health concerns regarding abuse potential if bioequivalence to crush-resistant formulation is not assured,
FDA-2012-P-0939-0001_Purdue_Pharma_L_P_Kleinfeld_Kaplan_and_Becker_LLP_.pdf,5-Jul-12,"Purdue Pharma L.P. (represented by Kleinfeld, Kaplan and Becker LLP)","Kleinfeld, Kaplan and Becker LLP",21 CFR 10.30,Request that FDA refuse to approve any ANDAs referencing OxyContin without demonstrating abuse-deterrent properties,Argues that removing abuse-deterrent features would pose public health risks and undermine incentives for innovation,
FDA-2012-P-0695-0006_Lorillard_Inc__Letter.pdf,11-Jun-12,"Lorillard, Inc.",N/A,21 CFR 10.30,Request to revise or withdraw sections of a Draft Guidance related to harmful and potentially harmful constituents (HPHCs) reporting requirements for tobacco products,"Argues that certain reporting requirements were premature, burdensome, and lacked statutory basis",
FDA-2012-P-0260-0001_Fisher_Wallace_Laboratories_LLC_Citizen_Petition.pdf,2-Mar-12,Fisher Wallace Laboratories LLC,N/A,21 CFR 10.30,Request that FDA reclassify cranial electrotherapy stimulators (CES) from Class III to Class II,Claims sufficient evidence of safety and effectiveness based on clinical data,
FDA-2012-P-0963-0001_Charles_J_Zimmerer_Citizen_Petition.pdf,18-Jul-12,Charles J. Zimmerer,N/A,21 CFR 10.30,Request for reconsideration of FDA's refusal to grant orphan drug designation for a specific product,Argues that the denial was based on incorrect interpretations of regulatory criteria,
FDA-2012-P-0275-0001_William_H_Lamont_Citizen_Petition.pdf,19-Mar-12,William H. Lamont,N/A,21 CFR 10.30,Request for FDA to initiate recall and conduct testing on certain nutritional supplements marketed for infants,Concerns over contamination and labeling inaccuracies potentially affecting infant health,
FDA-2012-P-0760-0001_Purdue_Pharma_L_P_Kleinfeld_Kaplan_and_Becker_LLP_.pdf,13-Jul-12,"Purdue Pharma L.P. (represented by Kleinfeld, Kaplan and Becker LLP)","Kleinfeld, Kaplan and Becker LLP",21 CFR 10.30,Request that FDA refuse to approve any ANDA for generic reformulated OxyContin unless it demonstrates comparable abuse-deterrent properties,Claims that tamper-resistance is essential for public health and generics must meet similar standards,
FDA-2012-P-0189-0001_Lannett_Company_Inc_and_Cody_Laboratories_Inc_Alst.pdf,5-Mar-12,"Lannett Company, Inc. and Cody Laboratories, Inc.",Alston & Bird LLP,21 CFR 10.30,Request that FDA recognize certain morphine sulfate oral solutions as grandfathered drugs not requiring new drug applications,Claims products meet grandfathering criteria under FDCA and have longstanding historical use without material changes,
FDA-2012-P-0137-0001_Anulex_Technologies_Inc__R_Sheridan_Consulting_LLC.pdf,10-Feb-12,"Anulex Technologies, Inc. (represented by R. Sheridan Consulting LLC)",R. Sheridan Consulting LLC,21 CFR 10.30,Request that FDA reclassify the Xclose Tissue Repair System from Class III to Class II with special controls,Argues that available clinical evidence supports safety and effectiveness under less restrictive classification,
FDA-2012-P-0275-0001_William_H_Lamont_Citizen_Petition.pdf,2-Apr-12,William H. Lamont,N/A,21 CFR 10.30,Request for FDA to take regulatory action regarding label requirements and certain drug product approvals,Argues that specific regulatory action is necessary to protect public health,
FDA-2012-P-0760-0001_Purdue_Pharma_L_P_Kleinfeld_Kaplan_and_Becker_LLP_.pdf,30-Jul-12,"Purdue Pharma L.P., Kleinfeld Kaplan and Becker LLP",Represented by legal counsel (Kleinfeld Kaplan and Becker LLP),21 CFR 314.161,Request to determine that discontinued formulations of certain drug products were withdrawn for safety reasons,Argues that old formulations pose safety concerns that justify refusal of ANDA approvals,
FDA-2012-P-0260-0001_Fisher_Wallace_Laboratories_LLC_Citizen_Petition.pdf,20-Mar-12,Fisher Wallace Laboratories LLC,N/A,21 CFR 10.30,Request for reclassification of the Fisher Wallace Stimulator from Class III to Class II,"Justifies reclassification based on safety, effectiveness, and postmarket use data",
FDA-2012-P-0963-0001_Charles_J_Zimmerer_Citizen_Petition.pdf,1-Nov-12,"Charles J. Zimmerer, Esq.",N/A,21 CFR 10.30,Request for reconsideration of FDA's refusal to grant exclusivity to a specific product,Argues that FDA misapplied its rules and the product met criteria for exclusivity,
FDA-2012-P-0103-0001_The_Feinstein_Institute_for_Medical_Reseach_North_.pdf,30-Jan-12,The Feinstein Institute for Medical Research (North Shore-LIJ Health System),N/A,21 CFR 10.30,Request for designation of a human cell and tissue-based product as a biologic,Argues the product meets statutory definitions and should be regulated as a biologic,
FDA-2012-P-0695-0007_Lorillard__Inc_Letter_with_encloure___Letter.pdf,26-Jun-12,FDA Center for Tobacco Products,Petition submitted,21 CFR 10.30,Request for enforcement discretion for premarket approval requirements under FDCA section 910(a) for two new tobacco products submitted under substantial equivalence reports,,
FDA-2012-P-1103-0001_Ikaria_Inc_Kleinfeld_Kaplan_and_Becker_LLP_Citizen.pdf,1-Nov-12,FDA Center for Drug Evaluation and Research (CDER),Citizen petition submitted,21 CFR 10.30,Request to revoke orphan drug designation granted to GeNO for nitric oxide or require clinical superiority data,,
FDA-2012-P-0295-0001_Janssen_Pharmaceuticals_Inc_Ropes_and_Gray_LLP_Cit.pdf,26-Mar-12,"Janssen Pharmaceuticals, Inc.",Represented by Ropes & Gray LLP,21 CFR 10.30,Request that FDA adopt specific bioequivalence requirements for ANDAs referencing ELMIRON (pentosan polysulfate sodium),Ensure generic versions have comparable safety and efficacy by requiring bioequivalence studies with clinical endpoints and detailed active ingredient characterization,
FDA-2012-P-1095-0001_Resveratrol_Partners_LLC_Citizen_Petition.pdf,31-May-12,"Resveratrol Partners, LLC",N/A,21 CFR 10.30,Requesting FDA to allow resveratrol dietary supplements to include specific health claims,Scientific evidence presented to support structure/function claims for resveratrol supplementation,
FDA-2012-P-1072-0001_Boehringer_Ingelheim_Pharmaceuticals_Inc_Ropes_Gra.pdf,8-Aug-12,"Boehringer Ingelheim Pharmaceuticals, Inc.",Represented by Ropes & Gray LLP,21 CFR 10.30,Request for specific bioequivalence study requirements for generic versions of Pradaxa (dabigatran etexilate),Concern about Pradaxa’s complex formulation and need for in vivo bioequivalence demonstration,
FDA-2012-P-0119-0003_Mario_Morais_Supplement.pdf,24-Apr-12,Mario Morais,N/A,21 CFR 10.30,Supplement to original citizen petition regarding regulatory actions on a drug product,,
FDA-2012-P-1103-0006_Ikaria_Inc_Kleinfeld_Kaplan_and_Becker_LLP_Supplem.pdf,13-Nov-12,"Ikaria, Inc.","Represented by Kleinfeld, Kaplan and Becker LLP",21 CFR 10.30,Supplement submission to previous citizen petition regarding nitric oxide orphan drug designation,,
FDA-2012-P-0637-0001_KV_Pharmaceutical_Company_Citizen_Petition.pdf,2-Mar-12,K-V Pharmaceutical Company,N/A,21 CFR 10.30,Request for FDA enforcement action against compounded versions of hydroxyprogesterone caproate (Makena®) products,,
FDA-2012-P-0951-0001_Endo_Pharmaceuticals_Inc_Citizen_Petition.pdf,30-May-12,"Endo Pharmaceuticals, Inc.",N/A,21 CFR 10.30,Request for FDA to deny approval of generic versions of Opana® ER that are not abuse-deterrent,,
FDA-2012-P-0387-0001_ABT_Molecular_Imaging_Inc_Citizen_Petition.pdf,18-Apr-12,"ABT Molecular Imaging, Inc.",N/A,21 CFR 10.30,Request to allow submission of ANDA for Fludeoxyglucose F18 Injection with lower strength (1–20 mCi/mL EOS),,
FDA-2012-P-0695-0012_Lorillard_Tobacco_Company_Petition_for_Reconsidera.pdf,24-Aug-12,Lorillard Tobacco Company,N/A,21 CFR 10.30,Request for reconsideration of FDA’s order finding two new tobacco products not substantially equivalent,Argues that FDA’s decision was arbitrary and capricious and did not adequately consider evidence,
FDA-2012-P-1018-0001_Mutual_Pharmaceutical_Company_Inc_Sidley_Austin_LL.pdf,23-Oct-12,"Mutual Pharmaceutical Company, Inc.",Represented by Sidley Austin LLP,21 CFR 10.30,Request for FDA to refuse acceptance of certain ANDAs referencing Sular® (nisoldipine) extended-release tablets,Argues bioequivalence standards are not met by proposed generics,
FDA-2012-P-1155-0003_Deka_Research_and_Development_Corportion__Suppleme.pdf,30-Nov-12,Deka Research and Development Corporation,N/A,21 CFR 10.30,Supplement to earlier citizen petition seeking reclassification of stair-climbing wheelchair devices,Provides additional data and responses to FDA queries to support reclassification,
FDA-2012-P-0555-0001_Teva_Pharmaceutical_Industries_Ltd_Citizen_Petitio.pdf,2-Mar-12,Teva Pharmaceutical Industries Ltd.,N/A,21 CFR 10.30,Request that FDA apply stringent standards for approving generic versions of Copaxone®,Emphasizes complexity of active ingredient and challenges of establishing sameness,
FDA-2012-P-0103-0003_Feinstein_Institute_for_Medical_Reseach_North_Shor.pdf,30-Jan-12,"Feinstein Institute for Medical Research (Thomas Chaly, Ph.D.)",N/A,NDA 22-494 (Sodium Fluoride F18 Injection); FDA regulations on ANDA amendments,Submission of an ANDA with a higher concentration than approved drug,Accept amendment to original citizen petition to include RLD labeling,"Ensure compliance with CGMP deadline (June 12, 2012)"
FDA-2012-P-0119-0005_Mario_Morais_Supplement.pdf,N/A,Mario Morais,N/A,N/A,N/A,N/A,N/A
FDA-2012-P-0496-0003_Cumberland_Pharmaceuticals_Inc_Amendment.pdf,N/A,Cumberland Pharmaceuticals Inc.,N/A,N/A,N/A,N/A,N/A
FDA-2012-P-0313-0001_Con_Vet_GmbH_and_Co_KG_Veterinary_Consulting_Group.pdf,3-May-12,Con Vet GmbH & Co KG Veterinary Consulting Group,N/A,21 CFR 10.30,Import alert on veterinary products,Request removal of Import Alert 16-129 for Polyinylpyrolidone Iodine Solution,Justification based on compliance with regulatory requirements and updated testing
FDA-2012-P-0566-0001_Citizen_Petition_Empire_State_Consumer_Project_Inc.pdf,4-Jun-12,"Empire State Consumer Project, Inc.",N/A,21 CFR 10.30,Use of polyethylene glycol (PEG 3350) products in children,"Request investigation, labeling changes, and potential withdrawal of PEG 3350 laxatives for children",Due to reports of neuropsychiatric events and other adverse events in children
FDA-2012-P-0493-0001_Leroy_Leslie_Hamilton_PhD__Change_in_Classificatio.pdf,14-May-12,"Dr. Leroy Leslie Hamilton, Ph.D.",N/A,21 CFR 860.123 (Medical Device Classification),Classification of Cranial Electrotherapy Stimulator devices,Request reclassification of CES devices from Class III to Class II,Supported by evidence of low risk and therapeutic benefit
FDA-2012-P-0184-0003_Foley_Hoag_LLP_Fresenius_Medical_Care_North_Americ.pdf,4-Apr-12,Fresenius Medical Care North America,Foley Hoag LLP,21 CFR 10.30,Policy regarding concentrated dialysate solutions,Request FDA to revise policies for sodium bicarbonate concentrate solutions,Justification based on product quality and safety improvements
FDA-2012-P-0468-0001_Cadila_Pharmaceuticals_Limited_India_Modavar_Pharm.pdf,4-May-12,Cadila Pharmaceuticals Limited / Modavar Pharmaceuticals LLC,Modavar Pharmaceuticals representative (Mr. Mayur Khamar),"21 CFR 10.20, 10.30; FDCA 505(j)",Reference Listed Drug (RLD) designation for Meclizine HCl tablets,Request designation of alternate RLD and removal of ANTIVERT if discontinued,ANTIVERT® unavailable commercially for over 12 months
FDA-2012-P-1053-0001_Citizen_Petition_from_Public_Citizen.pdf,November 2012 (approximate),Public Citizen,N/A,FDA general petition rules,Marketing approval standards,Request FDA to withdraw approval of propoxyphene-containing products,Based on cardiotoxicity and safety concerns
FDA-2012-P-1155-0001_Deka_Research_and_Development_Corporation_Change_i.pdf,4-Dec-12,DEKA Research and Development Corporation,N/A,21 CFR Part 880,Medical device classification,Request reclassification of HomeChoice PRO Peritoneal Dialysis System accessory from Class III to Class II,Based on low risk and intended use
FDA-2012-P-0040-0001_Electronic_Version_Fischer_Surgical_Inc_Citizen_Pe.pdf,29-Dec-11,Fischer Surgical Inc.,"Craig Fischer, CEO",21 CFR 10.33,NSE (Not Substantially Equivalent) letter issued for NCI Spatula,Acceptance of NCI Spatula as substantially equivalent to Endoserter (K090626),Overlooked endotoxin compliance; functionality demonstrated; no lower limit required
FDA-2012-P-0299-0007_Supplement_from_Front_Range_Equine_Rescue_and_The_.pdf,10-Mar-14,Front Range Equine Rescue and The Humane Society of the United States,Schiff Hardin LLP (Bruce A. Wagman),21 U.S.C. § 342(a)(4); 21 U.S.C. § 342(a)(2)(C)(ii),Rulemaking regarding adulterated horse meat,Supplement to petition requesting action against adulterated horse meat from American horses,Lack of treatment records makes horse meat adulterated; violations of FDCA
FDA-2012-P-1007-0001_Public_Citizen_Citizen_Petition.pdf,19-Sep-12,Public Citizen,N/A,21 C.F.R. § 20.49(d); FOIA regulations (5 U.S.C. § 552),FOIA policy and minor deletions,Revoke 21 C.F.R. § 20.49(d) and revise FDA FOIA practices,Policy inconsistent with FOIA and HHS regulations; harms FOIA requesters
FDA-2012-P-1252-0001_Center_for_Food_Safety_CFS_Citizen_Petition.pdf,5-Dec-12,Center for Food Safety (CFS),N/A,21 CFR 10.30,Food additive petition process,Request FDA to issue a new rule banning arsenic-based drugs in animal feed,Scientific evidence linking arsenic to cancer and other health risks
FDA-2012-P-0872-0051_Supplement_from_the_Handcrafted_Soap_and_Cosmetic_.pdf,Oct-12,Handcrafted Soap and Cosmetic Guild,N/A,"21 CFR 701.3, 21 U.S.C. 321(g)(1)",Labeling requirements for handcrafted soaps,Supplemental submission urging FDA to distinguish handcrafted soaps from cosmetics,Handcrafted soaps not intended to affect body structure or function; soaps are not cosmetics
FDA-2012-P-1009-0001_Pfizer_Inc_Covington_and__Burling_LLP__Citizen_Pet.pdf,28-Aug-12,Pfizer Inc.,Covington & Burling LLP,21 CFR 10.30,Labeling for generic versions of Vfend (voriconazole),Request FDA to require generic voriconazole applicants to conform to Vfend labeling until FDA updates it,To maintain consistency and avoid confusion during labeling transition
FDA-2012-P-0632-0001_Citizen_Petition_from_Par_Pharmaceutical.pdf,2-Apr-12,"Par Pharmaceutical, Inc.",N/A,21 CFR 10.30,Labeling for methylphenidate ER tablets,Request FDA to ensure generic methylphenidate ER products remain therapeutically equivalent to Concerta,To preserve therapeutic equivalence standards and prevent patient confusion
FDA-2012-P-1112-0005_Letter_from_Nobel_Laboratories_LLC.pdf,15-Oct-12,"Nobel Laboratories, LLC",N/A,21 CFR 10.30,Suitability petition for Ibuprofen Orally Disintegrating Tablets 100 mg,Request approval for ANDA suitability petition for a new dosage form,Provides bioequivalence and scientific rationale for suitability
FDA-2012-P-1267-0001_Xspire_Pharma_LLC_Citizen_Petition.pdf,26-Dec-12,"Xspire Pharma, LLC","FaMundy, President and CEO","Cited: 21 CFR 314.93, 21 CFR 25.31(a), 21 CFR 10.30(b)",Approval to submit ANDA with new strength for Azdone™ (hydrocodone bitartrate and aspirin tablets),"Allow filing of ANDA for Aspirin, Hydrocodone Bitartrate Tablets, 325 mg / 5 mg",Request based on identical active moiety (hydrocodone) and strength adjustment permitted under regulation; product not withdrawn for safety/efficacy
FDA-2012-P-0545-0001_Pfizer_Inc_Citizen_Petition.pdf,N/A,Pfizer Inc.,N/A,21 CFR Part 10,Request to deny approval of specific ANDAs,for generic versions of a drug,Listed reasons for concerns about therapeutic equivalence
FDA-2012-P-0499-0001_Jazz_Pharmaceuticals_Inc_Citizen_Petition.pdf,N/A,"Jazz Pharmaceuticals, Inc.",N/A,21 CFR 10.30,Concerns about approval of certain generics,Requesting delay or additional requirements for generics to ensure therapeutic equivalence,Evidence that the reference product has complex release mechanisms
FDA-2012-P-1267-0001_Xspire_Pharma_LLC_Citizen_Petition.pdf,26-Dec-12,"Xspire Pharma, LLC","FaMundy, President and CEO","21 CFR 314.93, 21 CFR 25.31(a)",ANDA Suitability Petition for Azdone (Aspirin and Hydrocodone Bitartrate) tablets,Approval to submit an ANDA with a different strength (325 mg/5 mg),"Submission under FDA regulations allowing strength changes, supporting documents attached"
FDA-2012-P-0661-0001_Citizen_Petition_from_Sandoz_Inc_.pdf,5-Jul-12,Sandoz Inc.,N/A,21 CFR 10.30,Request regarding ANDA submission for generic teriparatide injection,Seek FDA to require REMS-compliant product labeling to match FORTEO labeling,Ensures patient safety through identical REMS compliance
FDA-2012-P-1170-0001_Cephazone_Pharma_LLC_Citizen_Petition.pdf,12-Nov-12,Cephazone Pharma LLC,N/A,21 CFR 10.30,Request suitability petition for Excenel RTU (Ceftiofur hydrochloride) generic version,Approve new strength generic with certain differences,Scientific data supports equivalence despite formulation differences
FDA-2012-P-0279-0001_Lupin_Pharmaceutical__Inc____Citizen_Petition.pdf,16-Mar-12,"Lupin Pharmaceuticals, Inc.",N/A,21 CFR 10.30,Request determination that Teva forfeited 180-day exclusivity for Avapro generics,Request FDA to allow other generic entry,Factual and legal analysis of forfeiture events and ANDA amendments
FDA-2012-P-0292-0001_Lachman_Consultant_Services_Inc_Citizen_Petition.pdf,14-Mar-12,"Lachman Consultant Services, Inc.",N/A,21 CFR 10.30,ANDA suitability petition for Hydrocodone Bitartrate and Acetaminophen Tablets,Request FDA to approve ANDA suitability petition for different dosage strength,Scientific justification that change in strength does not affect safety and efficacy
FDA-2012-P-0737-0001_Actient_Pharmaceuticals_Citizen_Petition.pdf,19-Jun-12,Actient Pharmaceuticals LLC,N/A,21 CFR 10.30,Request regarding marketing status of Testopel® Pellets,Seek FDA to take enforcement action against unapproved testosterone pellet products,Ensure market integrity and protect public health
FDA-2012-P-1265-0001_Indicus_Pharma_LLC_Citzen_Petition.pdf,17-Dec-12,Indicus Pharma LLC,N/A,21 CFR 314.93,Orange Book listing of Meclizine Hydrochloride Tablets,"Assign second RLD (Reference Listed Drug) for Meclizine Hydrochloride 12.5 mg, 25 mg, and 50 mg",Scientific rationale supporting that new RLD assignment would facilitate ANDA submissions
FDA-2012-P-1052-0001_James_Flory_MD_MSCE_et_al_New_York_Presbyterian_Ho.pdf,9-Oct-12,"James Flory, MD, MSCE, et al. (New York Presbyterian Hospital)",N/A,21 CFR 10.30,Boxed Warning and labeling for Metformin,Remove boxed warning for lactic acidosis and revise contraindications,"Updated evidence shows metformin's lactic acidosis risk is extremely low, especially in mild renal impairment"
FDA-2012-P-0271-0001_Lachman_Consultant_Services_Inc__Citizen_Petition.pdf,12-Mar-12,"Lachman Consultant Services, Inc.",N/A,21 CFR 314.93,ANDA suitability petition for new strength hydrocodone bitartrate and acetaminophen tablets,Request FDA approval to submit an ANDA for a new intermediate strength,Scientific justification that intermediate strength maintains same safety and efficacy profile
FDA-2012-P-0617-0004_Combination_Products_Coalition_Epstein_Becker_and_.pdf,8-Jun-12,"Combination Products Coalition (Epstein Becker & Green, P.C.)","Attorney representation by Epstein Becker & Green, P.C.",21 CFR 3.2(e),FDA jurisdiction over combination products,Request FDA to provide clearer criteria and a formal process for classification,Unclear classification leads to regulatory uncertainty affecting product development
FDA-2012-P-0583-0001_Pfizer_Inc_Citizen_Petition.pdf,6-Jun-12,Pfizer Inc.,"Geoffrey Levitt, Senior Vice President & Associate General Counsel","21 U.S.C. 351, 355; 21 C.F.R. 10.30",ANDA approvals for Lyrica generics,Refusal to approve ANDAs with minimum isomeric impurity levels; require recertification for changes,"Request based on scientific standards for impurity specifications, risk of inappropriate regulatory approval, and impact on patent litigation."
